year,triad_id,node1,node2,node3,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,onset_year,is_terminal_row,row_event,duration,dur_bin,trade_dependence_12,dep_exposed_12,dep_asymmetry_12,log_dep_ratio_12,cap_asymmetry_12,exposed_is_weaker_12,log_trade_volume_12,trade_dependence_13,dep_exposed_13,dep_asymmetry_13,log_dep_ratio_13,cap_asymmetry_13,exposed_is_weaker_13,log_trade_volume_13,trade_dependence_23,dep_exposed_23,dep_asymmetry_23,log_dep_ratio_23,cap_asymmetry_23,exposed_is_weaker_23,log_trade_volume_23,trade_dependence_mean,dep_asym_mean,dep_asym_max,cap_asym_mean,cap_asym_max,trade_volume_mean,trade_volume_max,n_valid_ties,any_exposed_weaker,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
2010,100-101-115,100,101,115,FALSE,0.1148677345878587,1,32,-6.785881554513266,2009,FALSE,FALSE,8,100-101-115_S8,2010,flipped,2008,TRUE,flipped,3,yr3,0.01978256949720055,0.02190357021598511,0.00403661738352108,0.2036968510737532,0.5094838493685048,FALSE,7.47160790739116,7.587335247955606e-4,0.00608608216640857,0.00599149314412654,4.164218405460534,5.0327479729952165,TRUE,2.026744407106439,2.1079693612969497e-4,0.00187216896180604,0.00184843427268973,4.367915256534286,4.523264123626712,TRUE,0.8478374861915776,0.006917366652708602,0.003958848266779117,0.00599149314412654,3.355165315330144,5.0327479729952165,3.448729933563059,7.47160790739116,3,TRUE,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,-0.3027562870660791,post-1989,0,1
1982,100-101-130,100,101,130,FALSE,0.12547831666631967,1.8888888888888886,28,-5.91134254910099,1981,TRUE,TRUE,1,100-101-130_S1,1982,flipped,1982,TRUE,flipped,1,yr1,0.03865040384441023,0.07202781517055383,0.05128785917162866,1.2449902849832777,0.17659098370742843,TRUE,6.425630435740631,0.02313730713480034,0.03334237708571539,0.01728668375365743,0.7307656616779508,1.153736506337638,TRUE,4.924641580929279,0.00693752843574828,0.01863093835390787,0.01604763847482685,1.975755946661228,1.3303274900450663,TRUE,4.3426359590778025,0.022908413138319615,0.028207393800037648,0.05128785917162866,0.8868849933633776,1.3303274900450663,5.230969325249237,6.425630435740631,3,TRUE,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.2818624301695564,1945-1989,0,1
1987,100-101-130,100,101,130,FALSE,0.12705535741502813,1,29,-5.859362759137327,1986,TRUE,TRUE,2,100-101-130_S2,1988,flipped,1987,FALSE,continues,1,yr1,0.0180537738518732,0.02562877616973443,0.01291108929557582,0.7007220974635809,0.0542525721258853,TRUE,5.468566342107722,0.01296753220801211,0.01918377823457196,0.01041820090618165,0.783232654626539,1.1759422618475108,TRUE,4.395682936460455,0.00211920974657158,0.00445051862435038,0.00344141152267647,1.48395475209012,1.230194833973396,TRUE,2.934638532343258,0.011046838602152297,0.00892356724147798,0.01291108929557582,0.8201298893155974,1.230194833973396,4.2662959369704785,5.468566342107722,3,TRUE,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.3166102892617973,1945-1989,0,0
1988,100-101-130,100,101,130,FALSE,0.12705535741502813,1,29,-5.856098292196325,1987,FALSE,FALSE,2,100-101-130_S2,1988,flipped,1987,TRUE,flipped,2,yr2,0.02277197129954894,0.03420756401930087,0.01904826543332458,0.8138326780409992,0.0867454736729476,TRUE,5.844146815263251,0.01478050844385614,0.02375628777264976,0.01456026220040458,0.949075856065113,1.1330789494269746,TRUE,4.530471413192188,0.00284141186079127,0.0068603285198177,0.00568347214343241,1.7629085341061124,1.2198244230999222,TRUE,3.288379499206493,0.013464630534732116,0.013097333259053856,0.01904826543332458,0.8132162820666148,1.2198244230999222,4.554332575887311,5.844146815263251,3,TRUE,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.3187925458149022,1945-1989,0,1
1994,100-101-130,100,101,130,FALSE,0.1146704384053689,1,32,-5.72713262915985,1993,TRUE,TRUE,3,100-101-130_S3,1995,flipped,1994,FALSE,continues,1,yr1,0.0674713666752201,0.07391505202803378,0.01232563016987937,0.182426355531397,0.00459564316189187,TRUE,7.346523433030485,0.04453756245313598,0.07466391219953854,0.04809693478257902,1.033327878262338,1.1957180395739355,TRUE,6.323275938847,0.01224771309992111,0.02249327443977418,0.01582432650248644,1.2157542337937348,1.2003136827358274,TRUE,5.123495417264211,0.04141888074275907,0.025415630484981612,0.04809693478257902,0.8002091218238849,1.2003136827358274,6.2644315963805655,7.346523433030485,3,TRUE,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.4050045272419448,post-1989,0,0
1995,100-101-130,100,101,130,FALSE,0.11500797867443287,1,32,-5.697091821042091,1994,FALSE,FALSE,3,100-101-130_S3,1995,flipped,1994,TRUE,flipped,2,yr2,0.0816760747396042,0.09168357717556563,0.01892265978580136,0.2311643082574355,0.01110361419609251,FALSE,7.684595557963247,0.04759295930053586,0.07926497677601702,0.05068880269369766,1.0202230797214948,1.1672083287848078,TRUE,6.5188255842819185,0.01827388692926446,0.03416380639121738,0.02438928244972272,1.2513873879789303,1.156104714588715,TRUE,5.6771959990054395,0.049180973656468174,0.03133358164307391,0.05068880269369766,0.7781388858565385,1.1672083287848078,6.626872380416868,7.684595557963247,3,TRUE,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.4250864430831334,post-1989,0,1
1997,100-101-130,100,101,130,FALSE,0.11500797867443287,1,32,-5.6581940867882805,1996,TRUE,TRUE,4,100-101-130_S4,1997,flipped,1997,TRUE,flipped,1,yr1,0.07412796982791928,0.09154626245229008,0.03152244756773768,0.4221030468652276,0.00696186690662692,FALSE,7.810146620321125,0.05340337723074934,0.08886960099237776,0.05677852971712444,1.0185922999252413,1.1702234904963262,TRUE,6.761880013266308,0.01720456543236925,0.03535792147083302,0.02698647147027671,1.4406953467904686,1.163261623589699,TRUE,5.840232329424096,0.04824530416367929,0.03842914958504628,0.05677852971712444,0.7801489936642174,1.1702234904963262,6.804086321003843,7.810146620321125,3,TRUE,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.45108910661455004,post-1989,0,1
2000,100-101-130,100,101,130,FALSE,0.11462239730844685,1,32,-5.677725355344884,1999,TRUE,TRUE,5,100-101-130_S5,2000,flipped,2000,TRUE,flipped,1,yr1,0.06007460123118393,0.08782245498563401,0.04672866281509951,0.7594601514722935,0.1389368977446752,FALSE,7.673208004728386,0.05407535020456738,0.09270497123620185,0.06116250419528969,1.0780873003686553,1.2394448407507328,TRUE,6.649225583150124,0.01738217151219872,0.04356346241937548,0.0366278363304558,1.8375474518409487,1.1005079430060576,TRUE,5.894022265990162,0.04384404098265001,0.048173001113615,0.06116250419528969,0.8262965605004885,1.2394448407507328,6.738818617956224,7.673208004728386,3,TRUE,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.4380326904925918,post-1989,0,1
2003,100-101-130,100,101,130,FALSE,0.11476740687100999,1,32,-5.684882927669529,2002,TRUE,TRUE,6,100-101-130_S6,2003,flipped,2003,TRUE,flipped,1,yr1,0.0469207953093072,0.05441471433546377,0.01395578591243834,0.2963472548551915,0.23564736198251435,FALSE,7.271827882637977,0.07208747508522001,0.10560152458614686,0.05639196928353408,0.7635849904277505,1.3583956299779611,TRUE,7.171281099351529,0.01850162100450842,0.03143193683734442,0.02054142183135322,1.0599322452829418,1.1227482679954468,TRUE,5.9594327635672695,0.04583663046634521,0.03029639234244188,0.05639196928353408,0.9055970866519741,1.3583956299779611,6.8008472485189255,7.271827882637977,3,TRUE,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.43324794021266283,post-1989,0,1
2005,100-101-130,100,101,130,FALSE,0.11483313371520337,1,32,-5.680398745873837,2004,TRUE,TRUE,7,100-101-130_S7,2005,flipped,2005,TRUE,flipped,1,yr1,0.06331442285513203,0.08581663412188685,0.039104056979968,0.6081994123584201,0.23301306534320695,FALSE,8.195194143081052,0.06557704898826598,0.09437439466869316,0.04880748672606672,0.72808804338419,1.4908138652086589,TRUE,7.56216303455107,0.01529136635553994,0.02982753936464521,0.02198827772925553,1.33628745574261,1.2578007998654517,TRUE,6.410325347619327,0.04806094606631265,0.036633273811763414,0.04880748672606672,0.9938759101391058,1.4908138652086589,7.38922750841715,8.195194143081052,3,TRUE,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.4362455613513712,post-1989,0,1
2007,100-101-130,100,101,130,FALSE,0.1148677345878587,1,32,-5.647473284359944,2006,TRUE,TRUE,8,100-101-130_S8,2007,flipped,2007,TRUE,flipped,1,yr1,0.08459889441356137,0.11375438700867847,0.05083837010419731,0.592240852134927,0.3244279113566986,FALSE,8.855759491099008,0.05326469158497909,0.07926434377940197,0.04347110769914299,0.7950294511914682,1.448857987372261,TRUE,7.699476806152705,0.03122993922692214,0.06249036450719402,0.04688301268889937,1.3872703033263951,1.124430076015562,TRUE,7.46170079268328,0.056364508408487536,0.04706416349741322,0.05083837010419731,0.9659053249148405,1.448857987372261,8.005645696644997,8.855759491099008,3,TRUE,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.4582558329979387,post-1989,0,1
2010,100-101-130,100,101,130,FALSE,0.1148677345878587,1,32,-5.62027834129321,2009,TRUE,TRUE,9,100-101-130_S9,2010,flipped,2010,TRUE,flipped,1,yr1,0.01978256949720055,0.02190357021598511,0.00403661738352108,0.2036968510737532,0.5094838493685048,FALSE,7.47160790739116,0.05206436547094658,0.07611934814923003,0.04050818991153677,0.759643456537732,1.5359383333350456,TRUE,7.957617282685629,0.02614321699735295,0.04232000570783166,0.02617001273077015,0.9633403076114851,1.0264544839665408,TRUE,7.370574726180089,0.03266338398850003,0.023571606675276,0.04050818991153677,1.0239588888900304,1.5359383333350456,7.5999333054189595,7.957617282685629,3,TRUE,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.4764353225719636,post-1989,0,1
