"dep_asymmetry","percentile","p_hat","p_lo","p_hi"
0.0126570846656449,64,0.507766467778846,0.503141636075428,0.512389970603417
0.0137283636230768,65,0.50853538004553,0.503452719247551,0.513616276955788
0.0151728761181937,66,0.509533069719657,0.503856380736175,0.515207301263762
0.0160464730294375,67,0.510154278372699,0.504107732231056,0.51619785476636
0.0173251419632361,68,0.511050373740085,0.504470326391102,0.517626593859671
0.0180193167078616,69,0.511538365876465,0.504667796495393,0.518404578377504
0.0190482654333246,70,0.51224658476879,0.504954396525511,0.519533563812573
0.0205738257999553,71,0.513279891585167,0.505372582342135,0.521180559063386
0.0218270740804147,72,0.514120588274186,0.505712845830383,0.522520346443203
0.0239387307423781,73,0.515518009863372,0.506278498732955,0.524746924939317
0.0260846955439571,74,0.516938289973862,0.506853488607778,0.527009312927614
0.0278364497854961,75,0.518103025050665,0.507325091775775,0.528864139194735
0.0289991998448919,76,0.518880633184097,0.507639983422996,0.530102203256179
0.0315224475677377,77,0.520538103479611,0.508311279384155,0.532740372686064
0.0338031478655148,78,0.522034462663991,0.508917454565527,0.535121152709674
0.0357914929674708,79,0.52333889380692,0.509445988684122,0.537195776240016
0.0394326100155482,80,0.525716775103746,0.510409749124744,0.540975620793425
0.043547707587068,81,0.528399559921806,0.511497564242391,0.545236690511416
0.0467286628150995,82,0.530473654191776,0.512338946235555,0.548528244360882
0.0505188908596191,83,0.532941308574507,0.513340448042185,0.552441005802268
0.052130342758369,84,0.533989334112219,0.513765954134326,0.554101602589653
0.054497208999677,85,0.535527460078963,0.514390629993509,0.556537432211129
0.0611242504220674,86,0.53983040726312,0.516139428440399,0.563342758492712
0.067426399544102,87,0.543916910605849,0.517802125661425,0.569792440588318
0.0738221796990786,88,0.548058087969161,0.519489122436373,0.576313805628609
0.0850028090753435,89,0.555281092931289,0.522437115178628,0.587649100387183
0.100050200204673,90,0.564964845335783,0.5264021523608,0.602757108843644
